timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1522507932.868657,0.093134,0.499203,-0.044602,0.005102,0.017569,0.009545,0.081650,-0.478726,-0.874159,-0.000489,-0.001315,0.013182
1522507932.888371,0.093488,0.499759,-0.044799,0.039830,0.009564,-0.013986,0.081935,-0.479214,-0.873865,0.004140,-0.000324,0.012934
1522507932.908116,0.094026,0.500484,-0.045568,0.031104,0.011966,-0.032747,0.082373,-0.479851,-0.873475,-0.007589,-0.004601,0.010956
1522507932.927861,0.094199,0.500811,-0.046114,0.015371,-0.005967,-0.018047,0.082509,-0.480137,-0.873304,-0.008214,-0.004802,0.009794
1522507932.947575,0.093647,0.501588,-0.046884,0.047706,-0.057695,-0.032642,0.081992,-0.480819,-0.872978,-0.007819,-0.000672,0.021217
1522507932.967320,0.093248,0.502372,-0.047918,0.063829,-0.044305,-0.045807,0.081608,-0.481506,-0.872635,-0.012333,0.007858,0.019364
1522507932.987065,0.093171,0.503250,-0.049261,0.038948,-0.035214,-0.062653,0.081501,-0.482275,-0.872220,-0.008778,0.006170,0.018979
1522507933.006810,0.093381,0.503762,-0.050624,0.024131,-0.022202,-0.056991,0.081662,-0.482724,-0.871957,0.000888,0.002697,0.018335
1522507933.026524,0.089898,0.510077,-0.049835,-0.054215,0.002694,-0.044030,0.078349,-0.488244,-0.869183,0.001287,0.014581,0.013577
1522507933.046269,0.084601,0.506884,-0.047980,-0.058475,-0.032790,-0.043421,0.073875,-0.485455,-0.871135,0.009850,0.015698,0.001872
1522507933.066014,0.085141,0.506577,-0.049431,-0.002255,-0.037415,-0.048440,0.074358,-0.485187,-0.871243,-0.017839,-0.018841,0.014386
1522507933.085759,0.087349,0.506490,-0.051366,-0.056209,0.004584,-0.053626,0.076286,-0.485111,-0.871119,-0.006660,-0.016445,0.029078
1522507933.105473,0.089709,0.505058,-0.053438,-0.067602,0.022794,-0.070248,0.078403,-0.483858,-0.871628,-0.001743,-0.010863,0.015976
1522507933.125218,0.092378,0.501218,-0.055316,-0.088875,0.056647,-0.078638,0.080900,-0.480494,-0.873259,-0.009367,-0.009862,-0.006426
1522507933.144963,0.091464,0.502757,-0.055217,-0.068462,0.067042,-0.028112,0.080035,-0.481843,-0.872595,0.004286,0.000795,-0.006449
1522507933.164677,0.090670,0.506523,-0.054191,-0.043511,0.060500,-0.010006,0.079177,-0.485139,-0.870845,-0.006820,-0.006163,0.004863
1522507933.184422,0.089393,0.508795,-0.053405,-0.019035,-0.054290,0.053717,0.077966,-0.487125,-0.869845,0.023154,-0.008069,0.026690
1522507933.204167,0.088221,0.508395,-0.052223,-0.054511,0.004950,0.084953,0.076964,-0.486776,-0.870130,0.077166,0.122396,0.041806
1522507933.223912,0.088088,0.506641,-0.051644,0.007114,0.070777,-0.066174,0.076922,-0.485243,-0.870990,-0.036716,0.106565,-0.016324
1522507933.243626,0.086937,0.506606,-0.050554,0.020736,-0.008176,-0.063135,0.075922,-0.485212,-0.871094,-0.030909,0.036985,-0.010330
1522507933.263371,0.088516,0.508487,-0.051385,-0.035263,-0.017523,-0.028323,0.077217,-0.486856,-0.870063,-0.025108,-0.008353,0.012183
1522507933.283116,0.090119,0.503932,-0.050486,-0.144179,-0.019588,0.119593,0.078810,-0.482872,-0.872137,0.002733,-0.007439,0.019965
1522507933.302830,0.088270,0.499004,-0.047038,-0.113800,0.082661,0.064324,0.077406,-0.478551,-0.874641,0.014971,0.057241,-0.018486
1522507933.322575,0.090348,0.496716,-0.045141,-0.135244,0.100224,0.118697,0.079322,-0.476541,-0.875566,0.014810,0.034204,0.000551
