timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1522508454.640274,0.156113,-0.001749,-0.000788,-0.032193,-0.184884,-0.211476,0.155479,0.001749,-0.987838,0.029778,-0.026285,0.015593
1522508454.660141,0.152044,-0.003090,-0.004183,-0.037930,-0.212630,-0.157604,0.151458,0.003090,-0.988459,0.035920,-0.019875,0.006464
1522508454.680008,0.147568,-0.004117,-0.006710,-0.031665,-0.229619,-0.122983,0.147031,0.004117,-0.989123,0.041461,-0.022413,-0.002622
1522508454.699874,0.142819,-0.005290,-0.008815,-0.049015,-0.242583,-0.108097,0.142332,0.005290,-0.989805,0.048143,-0.025554,-0.004839
1522508454.719741,0.138051,-0.006739,-0.010681,-0.064223,-0.237348,-0.101939,0.137610,0.006739,-0.990464,0.047983,-0.026972,-0.001815
1522508454.739608,0.133680,-0.008040,-0.012638,-0.044591,-0.212643,-0.137307,0.133278,0.008040,-0.991046,0.042611,-0.033614,-0.002347
1522508454.759475,0.125959,-0.007598,-0.013514,0.108560,-0.435715,0.025046,0.125622,0.007598,-0.992049,0.195881,-0.000014,0.028182
1522508454.779312,0.119786,-0.001591,-0.016637,0.343012,-0.302467,-0.176594,0.119500,0.001591,-0.992833,-0.028847,-0.062810,0.015752
1522508454.799179,0.154810,0.016547,-0.018102,0.012864,-0.216921,0.085936,0.154171,-0.016547,-0.987906,-0.109234,-0.064447,0.015036
1522508454.819046,0.191024,-0.000304,-0.015438,-0.092801,-0.187667,0.165637,0.189864,0.000304,-0.981810,-0.018493,-0.132246,-0.021867
1522508454.838913,0.218728,-0.008139,-0.016878,-0.499830,0.257344,-0.250851,0.216981,0.008139,-0.976142,-0.236985,0.011713,0.020316
1522508454.858779,0.205635,-0.007626,-0.022915,-0.130695,0.155006,-0.513693,0.204182,0.007626,-0.978903,-0.006123,0.074787,0.044897
