timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1522507410.661481,0.479568,0.341951,-0.173819,0.271900,-0.075579,-0.198398,0.434682,-0.335325,-0.835828,0.002970,0.010634,0.030164
1522507410.681195,0.480229,0.344467,-0.179068,0.176316,-0.037006,-0.150280,0.434844,-0.337695,-0.834789,-0.027312,-0.015378,0.039562
1522507410.700940,0.480880,0.346011,-0.182961,0.166420,-0.044577,-0.098813,0.435145,-0.339148,-0.834043,-0.017344,0.017432,0.045301
1522507410.740399,0.481672,0.343610,-0.183414,-0.188553,0.036261,0.029860,0.436181,-0.336888,-0.834417,-0.021051,-0.013774,0.018713
1522507410.720685,0.481281,0.346028,-0.184620,-0.053665,0.013341,-0.055626,0.435477,-0.339164,-0.833863,-0.053656,-0.043282,0.048615
1522507410.760144,0.481658,0.340907,-0.180367,-0.182250,0.037236,0.065789,0.436590,-0.334342,-0.835227,-0.022085,-0.016381,-0.011788
1522507410.779889,0.480118,0.340006,-0.177888,-0.060395,-0.070775,0.080646,0.435442,-0.333493,-0.836165,0.014509,0.009716,-0.013398
1522507410.799634,0.477350,0.339462,-0.175456,-0.111195,-0.090379,0.091235,0.433209,-0.332980,-0.837529,-0.031567,-0.025556,-0.003765
1522507410.819348,0.472841,0.355436,-0.171190,-0.201329,-0.087925,0.116733,0.426952,-0.347999,-0.834631,-0.024974,0.000251,0.007528
1522507410.839093,0.453974,0.357277,-0.161303,-0.265626,-0.097741,0.113412,0.410848,-0.349724,-0.841960,-0.008657,-0.010780,-0.003728
1522507410.858838,0.464201,0.338514,-0.161206,-0.265995,-0.095753,0.116834,0.422300,-0.332086,-0.843434,-0.029264,-0.009833,-0.018001
1522507410.878552,0.458482,0.342914,-0.156658,-0.148526,-0.132136,0.109656,0.416820,-0.336233,-0.844517,-0.028835,0.000692,-0.005230
1522507410.898298,0.452852,0.346900,-0.152851,-0.102342,-0.126349,0.116493,0.411468,-0.339984,-0.845639,-0.051071,-0.027875,-0.000995
1522507410.918043,0.449013,0.349183,-0.150248,-0.067592,-0.131431,0.070806,0.407881,-0.342130,-0.846511,-0.018126,0.014951,0.014403
1522507410.937757,0.442705,0.349022,-0.146907,-0.098907,-0.096020,0.081718,0.402557,-0.341979,-0.849116,-0.036697,0.001052,-0.001851
1522507410.957502,0.438630,0.347265,-0.143936,-0.097787,-0.063544,0.070349,0.399348,-0.340327,-0.851292,-0.011576,0.021403,-0.021937
1522507410.977247,0.433552,0.348361,-0.140573,-0.104368,-0.035543,0.064769,0.394863,-0.341358,-0.852970,-0.013546,0.015583,-0.015927
1522507410.996992,0.432268,0.347432,-0.138541,-0.099392,-0.032596,0.052597,0.393901,-0.340484,-0.853764,-0.001414,0.027969,-0.001797
1522507411.016706,0.428801,0.346623,-0.136267,-0.077084,-0.062291,0.027626,0.391052,-0.339724,-0.855375,0.013321,0.039431,-0.007388
1522507411.036451,0.425727,0.344834,-0.134979,-0.017294,-0.069491,0.026323,0.388671,-0.338041,-0.857125,0.012162,0.039243,0.003625
1522507411.056195,0.424091,0.342684,-0.133650,-0.090065,0.001122,0.031301,0.387567,-0.336016,-0.858420,-0.019754,0.023013,0.009925
1522507411.075910,0.423938,0.340319,-0.132128,-0.041664,0.014129,0.040434,0.387761,-0.333788,-0.859201,-0.007008,0.040362,-0.000876
1522507411.095654,0.424577,0.339047,-0.132456,0.057494,-0.019545,-0.004023,0.388484,-0.332588,-0.859340,0.000859,0.031853,0.022349
1522507411.115400,0.425618,0.336851,-0.133478,-0.012971,-0.020582,-0.023566,0.389680,-0.330516,-0.859598,-0.001756,0.010662,0.015726
1522507411.135145,0.424389,0.336204,-0.133765,0.019149,-0.042806,-0.032383,0.388711,-0.329906,-0.860271,0.001426,0.021281,-0.005101
1522507411.154859,0.423501,0.334886,-0.134824,0.048361,-0.029343,-0.052915,0.388126,-0.328662,-0.861011,0.000150,0.010226,-0.013684
1522507411.174604,0.424370,0.333220,-0.135423,-0.038947,0.027888,-0.009886,0.389098,-0.327088,-0.861171,-0.018218,-0.017761,0.001934
1522507411.194349,0.425114,0.332097,-0.135539,-0.025192,-0.003616,-0.016551,0.389890,-0.326026,-0.861216,0.010897,0.015480,0.010645
1522507411.214063,0.425345,0.331015,-0.135858,-0.000867,-0.015443,-0.022218,0.390234,-0.325003,-0.861447,-0.008001,0.000708,-0.001575
1522507411.233808,0.424817,0.330464,-0.136531,0.023976,-0.028788,-0.047204,0.389853,-0.324482,-0.861815,-0.003180,0.002644,-0.002137
1522507411.253553,0.424101,0.331083,-0.137532,0.022449,-0.020262,-0.058577,0.389154,-0.325067,-0.861911,-0.020150,-0.005103,-0.005658
1522507411.273298,0.424786,0.331045,-0.139060,0.008787,0.011237,-0.045696,0.389748,-0.325031,-0.861656,-0.021432,-0.009029,0.011696
1522507411.293012,0.425093,0.329904,-0.138558,-0.065938,0.037919,0.007899,0.390166,-0.323952,-0.861873,-0.029769,0.003609,0.017711
1522507411.312757,0.425308,0.328654,-0.137784,-0.068486,0.014017,0.011653,0.390518,-0.322769,-0.862158,-0.023681,0.002915,0.012670
1522507411.332502,0.424659,0.328653,-0.137848,0.021280,-0.004414,-0.038998,0.389959,-0.322768,-0.862411,-0.009206,0.012206,0.001342
1522507411.352216,0.424688,0.328306,-0.138075,-0.069807,0.044417,-0.025587,0.390029,-0.322440,-0.862502,-0.034866,-0.011636,0.001632
1522507411.371961,0.424821,0.327121,-0.137228,-0.086856,0.051460,-0.023471,0.390302,-0.321318,-0.862797,-0.001950,0.019041,-0.018245
1522507411.391706,0.424497,0.327329,-0.137367,0.036923,-0.023811,0.008051,0.389995,-0.321515,-0.862863,-0.003200,0.006512,-0.011847
1522507411.411451,0.423126,0.328242,-0.137293,0.068904,-0.043074,0.032341,0.388690,-0.322379,-0.863129,0.001446,0.002982,-0.002243
1522507411.431165,0.421525,0.329698,-0.136832,0.012685,-0.022200,0.033545,0.387115,-0.323757,-0.863321,-0.012664,-0.002506,-0.007605
1522507411.450910,0.420770,0.328922,-0.135901,-0.046276,-0.000248,0.020952,0.386566,-0.323023,-0.863842,-0.015976,0.005076,-0.012013
1522507411.470654,0.420543,0.327692,-0.135982,0.000748,-0.025969,-0.031687,0.386532,-0.321859,-0.864292,-0.009075,0.013723,-0.010022
1522507411.490370,0.419812,0.327916,-0.136885,0.055046,-0.067428,-0.033651,0.385870,-0.322071,-0.864508,-0.013556,0.001224,0.009711
1522507411.510114,0.418564,0.328977,-0.137566,0.034998,-0.044423,0.008520,0.384652,-0.323075,-0.864676,-0.025399,-0.019287,0.033698
1522507411.529859,0.417455,0.328234,-0.136302,-0.090161,0.007165,0.034880,0.383790,-0.322372,-0.865322,-0.017961,-0.001405,0.018764
