timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1522507947.109611,0.389578,-0.284852,0.114486,-0.140695,0.048043,-0.059557,0.364494,0.281015,-0.887792,0.008340,-0.012766,0.008108
1522507947.129478,0.390569,-0.288189,0.114870,-0.179710,0.044530,-0.044020,0.365014,0.284216,-0.886558,0.008200,-0.013007,0.013725
1522507947.149345,0.391582,-0.292313,0.115854,-0.214353,0.028206,-0.026154,0.365461,0.288168,-0.885097,0.017031,-0.009207,0.009960
1522507947.169212,0.391795,-0.295731,0.117171,-0.153840,-0.019372,0.001010,0.365272,0.291440,-0.884104,0.038506,0.017231,0.017572
1522507947.189079,0.392085,-0.297901,0.118217,-0.095648,0.008981,0.000581,0.365285,0.293514,-0.883412,-0.009954,0.023640,0.015171
1522507947.208915,0.391585,-0.298378,0.118126,0.029161,-0.058498,-0.022613,0.364790,0.293970,-0.883465,0.042192,0.056097,0.006710
1522507947.228782,0.387980,-0.296676,0.116310,0.163111,-0.192321,-0.062226,0.361792,0.292343,-0.885236,0.053415,0.061600,0.010068
1522507947.248649,0.382209,-0.293937,0.115030,0.125500,-0.307097,-0.016631,0.356975,0.289722,-0.888048,0.071385,-0.003574,0.026781
1522507947.268516,0.384312,-0.316093,0.117547,0.063012,-0.314875,0.089860,0.356347,0.310856,-0.881127,0.005149,-0.040058,0.013009
1522507947.288383,0.400499,-0.332390,0.127949,0.007761,-0.489573,0.210917,0.368538,0.326303,-0.870463,0.025536,-0.063638,-0.035268
1522507947.308250,0.402608,-0.335595,0.133985,0.201328,-0.835525,-0.087825,0.369961,0.329331,-0.868717,0.159915,0.068816,-0.041882
1522507947.328117,0.394326,-0.322503,0.132235,0.627047,-0.986790,-0.003505,0.364379,0.316942,-0.875657,0.050705,0.001875,0.000993
1522507947.347984,0.382773,-0.306227,0.131142,0.466396,-0.651694,0.124017,0.356118,0.301463,-0.884477,-0.054132,-0.108287,0.053102
1522507947.367851,0.376860,-0.293226,0.133895,0.084273,-0.447146,0.207421,0.352295,0.289042,-0.890137,-0.117951,-0.135828,0.005005
1522507947.387718,0.383879,-0.295713,0.143223,-0.141295,-0.417893,0.285244,0.358264,0.291422,-0.886972,-0.109698,-0.103312,-0.031668
1522507947.407585,0.386642,-0.304734,0.150207,-0.321344,-0.081467,0.164362,0.359707,0.300040,-0.883508,-0.171581,-0.050528,-0.004324
1522507947.427457,0.389900,-0.311046,0.156347,-0.428197,0.146643,0.138002,0.361856,0.306054,-0.880563,-0.200632,-0.045282,-0.020866
1522507947.447324,0.396938,-0.317327,0.162259,-0.374281,0.338815,0.156374,0.367295,0.312028,-0.876204,-0.223466,-0.011644,-0.022081
1522507947.467191,0.410100,-0.322470,0.170312,-0.441309,0.668436,0.328375,0.378150,0.316910,-0.869810,-0.340751,-0.077515,-0.026140
1522507947.487057,0.424116,-0.326785,0.180238,-0.523756,0.918269,0.338707,0.389737,0.321000,-0.863171,-0.328000,-0.101410,-0.071979
1522507947.506924,0.434647,-0.330432,0.172152,-0.086726,1.261743,-0.412688,0.398310,0.324452,-0.857951,-0.449396,0.131206,0.017222
1522507947.526791,0.451209,-0.333819,0.150313,0.484895,1.091716,-1.049767,0.411983,0.327654,-0.850243,0.038868,0.259428,0.003823
1522507947.546628,0.467747,-0.329507,0.140460,0.051400,0.822429,0.230448,0.426620,0.323577,-0.844567,0.314880,-0.119719,0.097496
1522507947.566495,0.473328,-0.330735,0.144285,-0.141279,-0.017318,-0.076139,0.431145,0.324739,-0.841818,0.337226,-0.054261,-0.025064
1522507947.586362,0.471670,-0.332997,0.140813,0.025088,0.099606,-0.144446,0.429415,0.326877,-0.841876,-0.028475,0.055005,-0.015943
1522507947.606229,0.472890,-0.332970,0.140249,-0.031010,0.052359,-0.004192,0.430445,0.326851,-0.841359,-0.026331,-0.069405,-0.025630
1522507947.626096,0.472315,-0.335451,0.141343,-0.176043,-0.091334,-0.010477,0.429591,0.329195,-0.840882,0.030690,-0.083208,-0.022323
1522507947.645963,0.471523,-0.338834,0.143510,-0.190525,-0.065683,0.023420,0.428416,0.332388,-0.840225,-0.055598,-0.048361,-0.005753
1522507947.665829,0.470864,-0.341380,0.145731,-0.140868,-0.081269,0.037229,0.427477,0.334787,-0.839750,-0.042651,-0.016260,-0.023165
1522507947.685696,0.469334,-0.342581,0.147272,-0.054282,-0.106206,0.034519,0.426010,0.335919,-0.840044,-0.040253,0.002002,-0.046309
1522507947.705563,0.467918,-0.342598,0.148036,-0.008022,-0.060841,0.029448,0.424817,0.335935,-0.840641,-0.073804,-0.015348,-0.029613
1522507947.725430,0.463692,-0.339514,0.147270,-0.030800,-0.011838,0.010377,0.421723,0.333029,-0.843351,-0.072373,-0.033865,-0.018129
1522507947.745297,0.457872,-0.337839,0.145642,-0.058885,0.015704,-0.006432,0.417053,0.331449,-0.846291,-0.045349,-0.029951,-0.017784
1522507947.765164,0.453460,-0.338966,0.144290,-0.080277,0.015450,-0.030393,0.413151,0.332512,-0.847786,-0.027241,-0.024285,-0.023903
1522507947.785031,0.447198,-0.340043,0.142144,-0.066050,0.003768,-0.044020,0.407679,0.333528,-0.850033,-0.014918,-0.015581,-0.023502
1522507947.804898,0.440842,-0.339202,0.139573,-0.045324,-0.011070,-0.057517,0.402388,0.332735,-0.852861,-0.014586,-0.006441,-0.012450
1522507947.824765,0.437225,-0.338138,0.137587,-0.044201,0.002824,-0.070518,0.399450,0.331731,-0.854631,-0.023870,-0.008764,-0.005004
1522507947.844632,0.435347,-0.337532,0.136011,-0.051793,0.014520,-0.073972,0.397929,0.331160,-0.855562,-0.028590,-0.012571,-0.008559
