timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1522507399.059068,0.130403,-0.107466,0.014066,-0.849998,0.124212,-0.887579,0.129283,0.107259,-0.985790,-0.021816,0.029765,-0.034611
1522507399.078935,0.130547,-0.125004,-0.001639,-0.692137,0.084945,-0.878302,0.129161,0.124679,-0.983754,-0.025386,0.032472,-0.014720
1522507399.098802,0.129534,-0.136415,-0.017415,-0.322684,0.032626,-0.843045,0.127972,0.135993,-0.982410,-0.035732,0.012536,0.006229
1522507399.118669,0.127163,-0.141312,-0.033041,-0.065817,-0.030243,-0.776154,0.125557,0.140842,-0.982038,-0.029075,-0.017200,0.009351
1522507399.138536,0.124236,-0.143451,-0.047076,-0.020184,-0.062743,-0.664517,0.122644,0.142959,-0.982100,-0.019968,-0.075454,0.005141
1522507399.158403,0.120809,-0.146175,-0.058700,-0.096607,-0.105954,-0.549322,0.119230,0.145655,-0.982125,-0.004378,-0.102137,-0.001961
1522507399.178239,0.116723,-0.149636,-0.068168,-0.115595,-0.155118,-0.450352,0.115157,0.149079,-0.982097,0.007860,-0.081665,0.006908
1522507399.198106,0.111992,-0.151995,-0.075564,-0.042923,-0.193805,-0.338238,0.110470,0.151410,-0.982279,0.005161,-0.081479,0.014795
1522507399.217973,0.105148,-0.102434,-0.081049,-0.009288,-0.216762,-0.219365,0.104404,0.102255,-0.989264,0.009060,-0.042501,0.033972
1522507399.237840,0.106721,-0.070668,-0.083652,-0.091024,-0.223696,-0.135735,0.106253,0.070610,-0.991829,0.011103,-0.016242,0.035133
1522507399.257707,0.109213,-0.070180,-0.084562,-0.221411,-0.208597,-0.061659,0.108727,0.070123,-0.991595,-0.001077,-0.010827,0.036212
1522507399.277574,0.108171,-0.074682,-0.083662,-0.260055,-0.314530,0.094458,0.107659,0.074612,-0.991384,-0.028360,0.058445,0.033102
1522507399.297441,0.105844,-0.070643,-0.077257,0.461609,-0.236983,0.294015,0.105383,0.070584,-0.991924,0.092920,0.026554,0.075984
1522507399.317308,0.104308,-0.064148,-0.080247,-0.001141,-0.125680,-0.217943,0.103905,0.064104,-0.992519,-0.056664,0.109495,0.014675
1522507399.337175,0.105512,-0.063522,-0.081346,0.031807,0.022912,-0.002956,0.105104,0.063480,-0.992433,-0.101564,0.025510,0.032533
1522507399.357042,0.105064,-0.069703,-0.082076,-0.144733,0.069280,-0.102801,0.104616,0.069647,-0.992071,-0.004504,0.052103,0.034582
1522507399.376909,0.111301,-0.085874,-0.085393,-0.231775,0.202006,-0.234281,0.110662,0.085769,-0.990150,-0.051443,0.072343,0.048637
1522507399.396776,0.116064,-0.093859,-0.090561,-0.209980,0.286599,-0.305614,0.115294,0.093721,-0.988900,-0.071394,0.079527,0.037881
1522507399.416643,0.111328,-0.099165,-0.096819,-0.182105,0.266593,-0.269552,0.110553,0.099002,-0.988927,-0.012927,0.061200,0.011846
1522507399.436510,0.113102,-0.107160,-0.101859,-0.368485,0.229521,-0.306481,0.112214,0.106955,-0.987911,0.001220,0.021844,-0.012852
1522507399.456376,0.114763,-0.123404,-0.109549,-0.725286,0.361908,-0.475464,0.113641,0.123091,-0.985867,-0.058404,0.004991,-0.014789
1522507399.476243,0.113226,-0.143712,-0.120697,-0.610408,0.254228,-0.693895,0.111819,0.143218,-0.983354,0.118649,0.116013,0.027284
1522507399.496110,0.115116,-0.154226,-0.134395,-0.284393,0.286042,-0.683734,0.113499,0.153616,-0.981591,-0.095829,0.078211,0.014016
1522507399.515977,0.116050,-0.160134,-0.143769,-0.403114,0.045806,-0.433102,0.114308,0.159450,-0.980566,-0.025715,0.017338,-0.004465
1522507399.535814,0.110340,-0.169364,-0.151021,-0.653496,-0.062315,-0.398411,0.108541,0.168556,-0.979698,-0.045293,0.060631,0.012321
1522507399.555681,0.113134,-0.183567,-0.157616,-0.398782,-0.155450,-0.435447,0.110996,0.182537,-0.976913,-0.005192,0.071888,0.021896
1522507399.575548,0.105643,-0.192051,-0.164634,-0.158483,-0.099387,-0.277567,0.103508,0.190873,-0.976142,-0.005241,0.063171,0.037132
1522507399.595415,0.101117,-0.189985,-0.167812,0.210232,-0.162951,-0.031720,0.099129,0.188844,-0.976991,0.032250,0.013259,0.019945
1522507399.615282,0.094924,-0.188097,-0.168224,0.070371,-0.261325,0.081933,0.093110,0.186990,-0.977939,0.109069,-0.069177,0.005390
1522507399.635148,0.089073,-0.194316,-0.164657,-0.116016,-0.355815,0.201265,0.087281,0.193096,-0.977290,0.075469,-0.032726,-0.008092
1522507399.655015,0.085264,-0.199347,-0.160699,-0.084444,-0.309633,0.146556,0.083475,0.198030,-0.976635,-0.007532,0.027648,0.003597
1522507399.674882,0.082984,-0.202622,-0.157372,-0.038830,-0.162531,0.153408,0.081193,0.201239,-0.976171,-0.054109,0.017939,0.024374
1522507399.694749,0.087774,-0.200594,-0.152563,-0.029512,-0.084303,0.152812,0.085903,0.199252,-0.976176,-0.051953,0.011075,0.017649
1522507399.714616,0.092169,-0.197851,-0.149367,-0.015141,-0.041499,0.090353,0.090243,0.196563,-0.976330,-0.038287,0.034669,0.017574
1522507399.734483,0.092408,-0.198555,-0.148019,0.001197,0.004570,0.048287,0.090464,0.197253,-0.976170,-0.008051,0.033872,0.023747
1522507399.754350,0.090826,-0.199946,-0.147202,-0.003465,0.046317,0.061783,0.088894,0.198617,-0.976037,0.013370,0.031455,0.025369
1522507399.774217,0.089007,-0.200769,-0.147784,-0.008849,0.044887,-0.060718,0.087104,0.199423,-0.976035,-0.024131,0.088923,0.036963
1522507399.794083,0.087765,-0.201787,-0.150719,0.060648,0.058226,-0.108087,0.085874,0.200421,-0.975939,-0.031690,0.067478,0.036745
1522507399.813950,0.088795,-0.200828,-0.151828,0.128863,0.083687,-0.019192,0.086896,0.199481,-0.976041,-0.011487,0.057950,0.011289
1522507399.833817,0.090897,-0.200420,-0.151891,0.038922,0.082965,0.011625,0.088955,0.199081,-0.975937,-0.003353,0.031449,0.006455
1522507399.853683,0.091534,-0.203745,-0.151439,-0.032248,0.035261,0.024922,0.089516,0.202339,-0.975216,0.004769,0.015969,0.005871
1522507399.873551,0.089919,-0.209107,-0.151607,-0.137309,-0.037525,-0.023291,0.087841,0.207587,-0.974265,0.010883,0.007745,0.000113
1522507399.893387,0.087903,-0.214292,-0.151237,-0.173309,-0.091192,0.047534,0.085782,0.212656,-0.973355,-0.015164,0.006705,-0.001713
1522507399.913254,0.086658,-0.217969,-0.149004,-0.135942,-0.092873,0.098609,0.084501,0.216247,-0.972675,-0.051191,0.037446,0.001911
1522507399.933120,0.084949,-0.220410,-0.147185,-0.129008,-0.130355,0.070074,0.082794,0.218630,-0.972289,0.000504,-0.007158,-0.008943
1522507399.952988,0.083023,-0.223449,-0.146995,-0.171113,-0.121428,-0.059547,0.080866,0.221595,-0.971780,0.004781,0.014291,-0.000144
1522507399.972855,0.080520,-0.226489,-0.147633,-0.142247,-0.113599,-0.030169,0.078379,0.224558,-0.971304,0.006200,0.002585,0.003759
1522507399.992722,0.076767,-0.229269,-0.148399,-0.086215,-0.103440,-0.019723,0.074685,0.227266,-0.970965,0.003044,0.010665,0.009676
1522507400.012589,0.075226,-0.229153,-0.147854,0.052284,-0.066696,0.056194,0.073190,0.227153,-0.971105,-0.019235,0.030904,0.014333
