timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1522508832.780706,0.142401,0.128057,-0.018400,0.041439,-0.024935,-0.015482,0.140759,-0.127708,-0.981773,-0.010494,0.008506,0.013862
1522508832.800420,0.142151,0.128546,-0.018634,0.028095,-0.016776,0.001490,0.140504,-0.128192,-0.981746,-0.000856,0.011935,0.010997
1522508832.820165,0.141806,0.129586,-0.018224,0.060771,-0.018298,0.043761,0.140146,-0.129223,-0.981662,0.002890,0.004635,0.014377
1522508832.839910,0.141253,0.131118,-0.016889,0.078937,-0.022806,0.101873,0.139576,-0.130743,-0.981542,0.013363,0.010549,0.008489
1522508832.859655,0.140503,0.134359,-0.014957,0.187178,-0.023410,0.123323,0.138779,-0.133955,-0.981222,0.008834,0.026487,0.001272
1522508832.879369,0.139281,0.137540,-0.011846,0.087919,-0.051201,0.197302,0.137520,-0.137107,-0.980964,-0.015144,-0.020791,0.012946
1522508832.899114,0.137212,0.137442,-0.006588,-0.100824,-0.089511,0.290354,0.135492,-0.137010,-0.981260,-0.021158,-0.065444,0.026838
1522508832.918859,0.134255,0.135973,-0.000317,-0.116474,-0.121038,0.305215,0.132616,-0.135554,-0.981854,-0.015841,-0.046804,0.029416
1522508832.938573,0.140980,0.115059,0.002388,-0.194879,-0.192952,0.048570,0.139585,-0.114805,-0.983532,0.035937,-0.085161,0.054242
1522508832.958318,0.136081,0.134124,0.006514,-0.093474,-0.174496,0.195998,0.134443,-0.133722,-0.981857,-0.068586,0.019922,0.013245
1522508832.978063,0.126143,0.162203,0.012172,-0.127250,-0.200741,0.248749,0.124158,-0.161493,-0.979033,0.024570,0.012934,0.029417
