timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1522508977.030704,0.135060,-0.104245,0.013234,0.299242,-0.165789,-0.198904,0.133919,0.104056,-0.985514,0.055504,-0.100592,0.060694
1522508977.050571,0.135511,-0.102764,0.005277,0.022249,0.119456,-0.321891,0.134384,0.102583,-0.985605,-0.145584,-0.094221,0.083170
1522508977.070438,0.136361,-0.103233,0.004428,-0.032345,-0.006386,0.059694,0.135215,0.103050,-0.985443,-0.043724,-0.200401,0.100235
1522508977.090305,0.136546,-0.105697,0.004596,-0.183699,0.048654,-0.082803,0.135363,0.105501,-0.985163,0.003233,-0.111635,0.143610
1522508977.110172,0.138413,-0.109627,0.003515,-0.159546,0.115347,-0.044388,0.137143,0.109408,-0.984491,-0.043881,-0.124545,0.155938
1522508977.130008,0.140823,-0.110337,0.003926,0.053583,0.126008,0.037242,0.139505,0.110113,-0.984080,-0.045145,-0.083960,0.125239
1522508977.149875,0.143861,-0.105762,0.004549,0.315505,0.165912,0.081770,0.142564,0.105565,-0.984140,-0.043870,-0.088842,0.095071
1522508977.169742,0.147447,-0.097782,0.006158,0.401092,0.171185,0.173270,0.146211,0.097626,-0.984424,-0.051668,-0.118180,0.045002
1522508977.189609,0.150448,-0.089870,0.007474,0.392154,0.135290,-0.014479,0.149276,0.089749,-0.984714,-0.080108,-0.123624,-0.008816
1522508977.209476,0.154890,-0.083327,0.010784,0.110456,0.257524,0.608246,0.153737,0.083231,-0.984600,-0.108189,-0.088876,-0.042026
1522508977.229343,0.158827,-0.078080,0.028493,0.231032,0.060937,0.773065,0.157678,0.078001,-0.984405,0.040045,-0.097120,-0.068268
1522508977.249210,0.136065,-0.027329,0.037276,0.140036,0.151517,0.504448,0.135595,0.027325,-0.990387,-0.018361,0.050556,-0.045471
1522508977.269077,0.103767,0.018323,0.047431,0.505638,0.053062,0.514304,0.103563,-0.018322,-0.994454,0.062406,-0.003178,-0.074806
1522508977.288944,0.070248,0.016243,0.050231,0.587619,0.021581,0.062667,0.070181,-0.016243,-0.997402,0.125925,0.091926,-0.118351
1522508977.308811,0.085292,0.034366,0.054618,0.466793,-0.092234,0.352891,0.085138,-0.034360,-0.995777,0.172323,-0.083972,-0.141919
