timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1522507387.373637,0.183885,0.436658,-0.078686,0.025788,0.014865,-0.048915,0.165694,-0.422913,-0.890893,0.009477,-0.007369,-0.010657
1522507387.393687,0.184356,0.436966,-0.079675,0.019178,-0.002185,-0.030692,0.166089,-0.423193,-0.890686,0.009066,-0.002695,-0.013290
1522507387.413737,0.184372,0.436766,-0.080251,-0.018967,-0.018324,-0.027756,0.166119,-0.423011,-0.890767,0.012012,-0.014580,-0.007823
1522507387.433787,0.184238,0.436333,-0.080612,-0.009266,-0.008636,-0.012728,0.166034,-0.422619,-0.890969,0.007611,-0.016437,0.002557
1522507387.453837,0.184178,0.436469,-0.080658,0.009172,-0.002123,0.001328,0.165969,-0.422742,-0.890923,0.012925,-0.013309,0.010842
1522507387.473857,0.183812,0.437264,-0.080531,0.040762,-0.020120,0.013510,0.165581,-0.423463,-0.890653,0.006171,-0.048324,0.026547
1522507387.493907,0.183607,0.437324,-0.080706,-0.020167,-0.011878,-0.011754,0.165394,-0.423517,-0.890662,0.018779,-0.018317,0.022803
1522507387.513957,0.183481,0.436127,-0.080674,-0.035492,0.003026,-0.007699,0.165374,-0.422433,-0.891180,0.011765,0.012795,0.014013
1522507387.534007,0.195462,0.448606,-0.085754,0.027683,0.022481,-0.003981,0.175002,-0.433710,-0.883895,0.012559,0.029962,-0.014573
1522507387.554057,0.198460,0.465560,-0.087265,0.101815,0.013158,0.002143,0.176176,-0.448923,-0.876031,0.013368,0.044199,-0.025825
1522507387.574107,0.202697,0.463267,-0.089328,0.105062,0.003588,0.009726,0.180093,-0.446873,-0.876283,-0.003534,0.023945,-0.024261
1522507387.594126,0.202094,0.459319,-0.089134,0.094109,0.017432,0.012748,0.179917,-0.443338,-0.878112,-0.009309,0.015985,-0.010331
1522507387.614176,0.203869,0.451691,-0.090076,0.071356,0.026874,-0.015355,0.182155,-0.436487,-0.881078,-0.009136,0.007700,-0.003443
1522507387.634226,0.205042,0.445706,-0.090978,0.047392,0.028906,-0.019887,0.183717,-0.431095,-0.883405,-0.012132,-0.003078,0.001295
1522507387.654276,0.204345,0.443131,-0.090640,0.001541,0.020238,-0.007441,0.183326,-0.428770,-0.884617,-0.018943,-0.016710,0.002919
1522507387.674326,0.203737,0.442574,-0.090815,-0.011251,0.024308,-0.057900,0.182836,-0.428267,-0.884963,-0.024770,-0.011415,-0.003145
1522507387.694377,0.203005,0.442882,-0.092217,0.050182,0.001954,-0.111762,0.182162,-0.428545,-0.884967,-0.005129,-0.000715,-0.008771
1522507387.714396,0.202798,0.443892,-0.094486,0.036128,-0.023746,-0.122452,0.181891,-0.429458,-0.884580,-0.021155,-0.029786,-0.007891
1522507387.734446,0.199923,0.445748,-0.096755,0.081026,-0.203868,-0.085662,0.179189,-0.431133,-0.884317,0.046062,0.008159,-0.012778
1522507387.754496,0.194318,0.448787,-0.096519,0.090030,-0.236480,0.062329,0.173976,-0.433873,-0.884017,0.027395,-0.008342,0.004180
1522507387.774536,0.189120,0.450388,-0.095028,0.092026,-0.234245,0.092311,0.169248,-0.435315,-0.884226,0.025637,0.000882,0.010172
1522507387.794586,0.182746,0.453150,-0.093416,0.084518,-0.271654,0.086023,0.163389,-0.437800,-0.884101,0.002901,0.001612,-0.002938
1522507387.814606,0.177780,0.454405,-0.092308,0.099793,-0.341973,0.111193,0.158900,-0.438927,-0.884361,0.031728,0.006875,-0.002404
1522507387.834656,0.175605,0.456076,-0.094182,0.066859,-0.300947,-0.049923,0.156847,-0.440429,-0.883980,0.037566,0.054427,0.009942
1522507387.854706,0.174588,0.457994,-0.098238,0.143440,-0.241089,-0.115874,0.155801,-0.442150,-0.883306,-0.024514,0.012600,0.026571
1522507387.874756,0.170618,0.458879,-0.099126,-0.000366,-0.296570,0.068202,0.152227,-0.442943,-0.883532,-0.047994,-0.038273,0.006990
1522507387.894806,0.165273,0.455698,-0.098083,-0.219648,-0.250393,0.070076,0.147732,-0.440089,-0.885718,-0.043973,-0.005528,-0.022455
1522507387.914856,0.161388,0.449766,-0.095902,-0.179916,-0.221153,0.161283,0.144708,-0.434755,-0.888846,-0.047662,-0.031920,-0.011132
1522507387.934876,0.156511,0.449206,-0.091936,0.011811,-0.086028,0.139904,0.140409,-0.434250,-0.889782,-0.029630,-0.001465,-0.001270
1522507387.954926,0.154427,0.454033,-0.089371,0.194945,0.026612,0.104663,0.138230,-0.438593,-0.887991,-0.039506,0.002741,-0.013910
1522507387.974976,0.154206,0.457720,-0.088645,0.104061,0.094167,-0.040037,0.137784,-0.441904,-0.886417,-0.026411,0.031534,-0.035778
1522507387.995026,0.157300,0.459426,-0.091727,0.068971,0.127706,-0.202210,0.140408,-0.443433,-0.885241,-0.024090,0.021879,-0.033017
1522507388.015076,0.160668,0.458108,-0.097615,-0.100185,0.088233,-0.344938,0.143482,-0.442252,-0.885339,-0.014683,0.025733,-0.021582
1522507388.035126,0.163723,0.452991,-0.103619,-0.231273,0.100674,-0.308828,0.146553,-0.437657,-0.887118,-0.012764,0.001149,-0.012937
1522507388.055145,0.165457,0.447028,-0.106545,-0.205035,0.100218,-0.137305,0.148519,-0.432288,-0.889421,-0.027456,-0.009683,-0.000060
1522507388.075195,0.165384,0.442572,-0.105435,-0.149100,0.142389,-0.025671,0.148769,-0.428265,-0.891323,0.000859,-0.032078,-0.009052
1522507388.095245,0.166693,0.439390,-0.104114,-0.122309,0.162979,0.045120,0.150162,-0.425388,-0.892466,-0.002716,-0.028088,0.006678
1522507388.115295,0.168821,0.437422,-0.102545,-0.053609,0.152563,0.047992,0.152200,-0.423606,-0.892969,-0.006174,0.003425,0.018381
1522507388.135346,0.170115,0.439289,-0.100655,0.074839,0.140344,0.088923,0.153222,-0.425296,-0.891990,0.035026,0.017734,0.021766
1522507388.155365,0.171160,0.441858,-0.098398,0.051874,0.125366,0.105908,0.153967,-0.427619,-0.890750,0.006388,0.006538,-0.000241
1522507388.175415,0.172355,0.443288,-0.095526,0.036258,0.210783,0.132029,0.154926,-0.428912,-0.889962,-0.001316,0.002383,-0.003532
1522507388.195465,0.175031,0.444707,-0.092777,0.041722,0.233187,0.121254,0.157202,-0.430193,-0.888944,-0.007879,0.004564,-0.013858
1522507388.215515,0.180585,0.445380,-0.089793,-0.024826,0.514988,0.202480,0.162084,-0.430801,-0.887772,0.010127,0.001480,-0.010391
1522507388.235565,0.185588,0.444038,-0.083555,-0.048160,0.127545,0.240860,0.166630,-0.429589,-0.887517,0.016307,-0.011619,-0.087962
1522507388.255615,0.185985,0.446747,-0.079706,0.183369,0.118603,0.182166,0.166767,-0.432034,-0.886304,0.035061,0.016171,-0.013964
1522507388.275635,0.186078,0.449511,-0.076757,0.062823,0.090200,0.111572,0.166627,-0.434525,-0.885112,-0.003999,-0.002731,-0.021932
