timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1522508457.142408,-0.107168,-0.293842,-0.031149,0.065224,0.031999,-0.089229,-0.102379,0.289631,-0.951647,0.028450,0.008571,-0.008772
1522508457.162427,-0.106981,-0.291905,-0.032634,0.113114,0.034350,-0.075925,-0.102260,0.287777,-0.952222,0.000789,-0.025020,0.001234
1522508457.182477,-0.106597,-0.289978,-0.034044,0.069482,0.045929,-0.077486,-0.101954,0.285931,-0.952811,0.000696,-0.051526,0.007163
1522508457.202527,-0.105817,-0.288882,-0.034820,0.047307,0.053498,-0.018872,-0.101243,0.284880,-0.953201,0.017137,-0.049865,-0.000534
1522508457.222578,-0.105332,-0.288452,-0.034495,-0.058657,0.019095,0.027387,-0.100793,0.284469,-0.953372,0.008493,-0.081878,-0.024335
1522508457.242628,-0.104781,-0.290891,-0.033247,-0.066398,0.005261,0.050939,-0.100195,0.286806,-0.952735,0.002844,0.012038,-0.048837
1522508457.262647,-0.104363,-0.291210,-0.032392,-0.019550,0.012911,0.054558,-0.099787,0.287111,-0.952686,-0.019170,-0.025011,-0.002393
1522508457.282697,-0.103684,-0.292249,-0.031115,-0.049184,0.015033,0.086366,-0.099110,0.288107,-0.952456,0.015324,-0.013387,0.022600
1522508457.302747,-0.095992,-0.227636,-0.027168,0.028131,-0.016619,0.115142,-0.093372,0.225676,-0.969718,0.033756,0.060884,0.003119
1522508457.322797,-0.095484,-0.253004,-0.024324,0.110020,-0.059027,0.112969,-0.092304,0.250313,-0.963755,0.009052,0.017921,-0.008459
1522508457.342847,-0.105082,-0.259793,-0.024052,0.008508,-0.036952,0.122553,-0.101369,0.256881,-0.961112,-0.016917,-0.015807,0.006995
1522508457.362897,-0.104083,-0.265650,-0.021721,0.004100,0.003573,0.114788,-0.100251,0.262536,-0.959700,-0.006774,0.016334,0.011580
1522508457.382917,-0.096945,-0.270124,-0.017593,0.061144,-0.145662,0.114057,-0.093283,0.266851,-0.959213,0.093649,0.065241,-0.008164
1522508457.402967,-0.095133,-0.269044,-0.012809,0.095362,-0.147331,0.227863,-0.091572,0.265810,-0.959666,-0.002041,-0.002993,0.002910
1522508457.423017,-0.100279,-0.263780,-0.006854,0.104506,-0.178948,0.352296,-0.096649,0.260731,-0.960561,0.011383,0.001155,-0.000971
1522508457.443067,-0.103603,-0.263949,-0.000087,0.257395,-0.217960,0.327261,-0.099837,0.260894,-0.960191,0.007506,0.019059,0.004441
1522508457.463117,-0.101202,-0.263018,0.009295,0.334606,-0.214377,0.360113,-0.097554,0.259996,-0.960669,0.005224,0.016539,0.008322
1522508457.483137,-0.099791,-0.257961,0.017121,0.294702,-0.193418,0.278255,-0.096329,0.255109,-0.962102,-0.026992,0.008410,0.003560
1522508457.503187,-0.102406,-0.253078,0.021686,0.228690,-0.197112,0.196266,-0.098971,0.250385,-0.963074,0.005587,-0.006168,0.002427
1522508457.523237,-0.104970,-0.252336,0.027436,0.173809,-0.239775,0.273048,-0.101459,0.249667,-0.963002,0.019794,0.000013,-0.004344
1522508457.543287,-0.106312,-0.251722,0.034267,0.198664,-0.197990,0.294462,-0.102768,0.249073,-0.963017,-0.027145,-0.011051,0.006337
1522508457.563337,-0.109165,-0.250894,0.039573,0.143221,-0.155629,0.250853,-0.105537,0.248270,-0.962925,-0.006356,-0.034602,-0.014996
1522508457.583356,-0.110349,-0.250720,0.043956,0.064866,-0.065362,0.190702,-0.106682,0.248101,-0.962842,-0.041679,-0.010735,0.000119
1522508457.603406,-0.109914,-0.249748,0.046965,0.050022,-0.028310,0.105786,-0.106289,0.247160,-0.963127,-0.038852,0.010286,-0.000526
