timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1522508417.513800,0.331775,0.315539,-0.105205,-0.367879,0.041483,0.250496,0.309641,-0.310329,-0.898787,-0.030161,0.036999,0.036147
1522508417.533545,0.330069,0.310561,-0.096834,-0.371643,0.049895,0.322894,0.308604,-0.305593,-0.900764,-0.033503,0.021962,0.033669
1522508417.553289,0.327747,0.304301,-0.087277,-0.488252,0.018949,0.325027,0.307121,-0.299627,-0.903272,-0.007057,-0.002604,0.045240
1522508417.573004,0.324803,0.297471,-0.077918,-0.431304,-0.029648,0.322077,0.305106,-0.293104,-0.906091,0.010323,0.114728,0.000344
1522508417.592749,0.320940,0.292858,-0.068876,-0.343100,-0.077205,0.342760,0.302027,-0.288690,-0.908536,0.014043,0.045129,-0.013873
1522508417.612494,0.316495,0.287739,-0.059982,-0.407089,-0.111052,0.312764,0.298442,-0.283785,-0.911262,0.027806,-0.021971,-0.001275
1522508417.632208,0.311781,0.281062,-0.051491,-0.471276,-0.130130,0.278827,0.294718,-0.277376,-0.914442,0.044028,-0.015592,0.028455
1522508417.651953,0.307053,0.274921,-0.043988,-0.361423,-0.141899,0.257586,0.290901,-0.271471,-0.917431,0.046395,0.077379,-0.009616
1522508417.671698,0.317494,0.251952,-0.041476,-0.229638,-0.159116,0.222005,0.302330,-0.249295,-0.920026,0.022011,0.029751,0.006040
1522508417.691443,0.329503,0.275480,-0.041186,-0.122921,-0.173098,0.146933,0.311372,-0.272009,-0.910526,-0.008577,0.024527,-0.012035
1522508417.711157,0.337435,0.287942,-0.041871,-0.075381,-0.169475,0.078841,0.317438,-0.283979,-0.904759,0.020132,0.011534,-0.007152
1522508417.730902,0.337155,0.266851,-0.040707,-0.136777,-0.131327,0.062392,0.319095,-0.263695,-0.910298,0.063153,0.017220,0.005727
1522508417.750647,0.334884,0.253395,-0.037669,-0.122581,-0.115289,0.128680,0.318165,-0.250692,-0.914289,-0.027485,-0.007105,-0.026018
1522508417.770361,0.330495,0.251163,-0.034216,-0.039762,-0.113275,0.121475,0.314330,-0.248531,-0.916204,-0.034331,0.018642,-0.033992
1522508417.790106,0.330142,0.252570,-0.032520,0.014217,-0.056494,0.093109,0.313893,-0.249893,-0.915983,-0.035420,0.047455,-0.028338
1522508417.809851,0.331078,0.253767,-0.031636,0.007039,-0.042091,0.053586,0.314652,-0.251052,-0.915405,-0.019715,0.026595,-0.007217
1522508417.829596,0.327337,0.253632,-0.030465,0.030720,-0.076714,0.037395,0.311236,-0.250922,-0.916608,-0.008532,0.038733,0.003370
1522508417.849310,0.323498,0.251615,-0.029526,0.016010,-0.068282,0.028400,0.307876,-0.248969,-0.918274,0.001008,0.010840,0.022217
1522508417.869055,0.320161,0.248878,-0.028591,0.039039,-0.070611,0.041044,0.305022,-0.246317,-0.919940,-0.004424,0.012598,0.018405
1522508417.888782,0.317827,0.246747,-0.027376,-0.015083,-0.044106,0.055548,0.303039,-0.244250,-0.921146,-0.024337,0.006091,-0.001172
1522508417.908495,0.317092,0.243349,-0.025895,-0.100129,-0.044616,0.059153,0.302618,-0.240954,-0.922152,-0.027548,-0.014814,0.015444
1522508417.928241,0.315053,0.241052,-0.023303,-0.168149,-0.071341,0.086613,0.300907,-0.238724,-0.923291,-0.028477,-0.000366,0.033688
1522508417.947985,0.313233,0.239214,-0.020954,-0.097189,-0.094319,0.090685,0.299361,-0.236939,-0.924253,-0.025390,0.019394,0.029782
1522508417.967731,0.310407,0.239366,-0.019307,0.016078,-0.078656,0.055598,0.296737,-0.237087,-0.925060,-0.021301,0.026333,-0.011967
1522508417.987444,0.308041,0.241672,-0.018167,0.038729,-0.056763,0.080100,0.294381,-0.239326,-0.925236,-0.013406,-0.000847,-0.025447
1522508418.007190,0.306929,0.242944,-0.016214,-0.030097,-0.013741,0.120007,0.293260,-0.240561,-0.925272,-0.028108,-0.008416,-0.017751
1522508418.026934,0.305790,0.241555,-0.013416,-0.081401,-0.001193,0.109083,0.292306,-0.239212,-0.925924,-0.015832,0.008927,0.026082
1522508418.046679,0.303989,0.239803,-0.010620,-0.065323,-0.015192,0.093635,0.290763,-0.237511,-0.926847,-0.014350,0.019478,0.033872
1522508418.066394,0.302482,0.239840,-0.008564,0.023563,-0.023387,0.106285,0.289364,-0.237548,-0.927275,-0.019421,0.020430,-0.002473
1522508418.086138,0.300054,0.241649,-0.006173,0.046822,-0.040222,0.110585,0.286984,-0.239304,-0.927563,-0.021222,0.005494,-0.025241
1522508418.105884,0.298429,0.242876,-0.004369,-0.000323,-0.021770,0.086492,0.285390,-0.240495,-0.927747,-0.031148,0.004274,-0.006579
1522508418.125597,0.297849,0.242564,-0.003085,-0.030879,-0.019141,0.034192,0.284874,-0.240192,-0.927984,-0.024437,0.030445,0.012320
1522508418.145343,0.297119,0.241046,-0.002428,-0.033816,-0.003265,0.015225,0.284303,-0.238718,-0.928539,-0.014588,0.020655,0.018856
1522508418.165087,0.296196,0.240293,-0.001526,-0.016564,-0.012899,0.031727,0.283497,-0.237987,-0.928973,-0.015019,0.013026,-0.003247
1522508418.184833,0.294192,0.240361,-0.000403,-0.012027,-0.014607,0.041438,0.281631,-0.238053,-0.929524,-0.030242,-0.000640,-0.013164
1522508418.204546,0.292848,0.239727,0.000661,-0.025891,-0.027630,0.035652,0.280425,-0.237437,-0.930046,-0.018432,0.014460,0.007057
1522508418.224292,0.292046,0.238385,0.001460,-0.040933,-0.009474,0.017739,0.279770,-0.236134,-0.930575,-0.024872,0.026417,0.027087
