timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1522507946.875326,-0.029640,0.072830,0.002108,0.007038,0.009570,-0.010546,-0.029557,-0.072766,-0.996911,0.004273,0.006375,0.012505
1522507946.895376,-0.029345,0.072831,0.001862,-0.009317,0.015906,-0.012888,-0.029263,-0.072767,-0.996920,0.005536,0.002958,0.007662
1522507946.915396,-0.029038,0.073018,0.001590,0.022293,0.020291,-0.012605,-0.028956,-0.072953,-0.996915,0.013057,0.000764,0.007260
1522507946.935446,-0.028565,0.072957,0.000932,-0.026602,0.021095,-0.041984,-0.028485,-0.072892,-0.996933,0.009411,-0.014998,-0.000565
1522507946.955496,-0.028057,0.072461,0.000144,-0.003723,0.026517,-0.040724,-0.027980,-0.072398,-0.996983,0.012630,0.001170,0.000996
1522507946.975546,-0.027580,0.072766,-0.000560,0.020209,0.019170,-0.028670,-0.027504,-0.072702,-0.996974,0.013618,0.001001,0.000514
1522507946.995596,-0.027225,0.073223,-0.001043,0.034350,0.014972,-0.021021,-0.027148,-0.073158,-0.996951,0.010867,-0.000527,-0.000501
1522507947.015616,-0.026941,0.073815,-0.001332,0.020149,0.009603,-0.014705,-0.026864,-0.073748,-0.996915,0.010049,0.003481,-0.000064
1522507947.035666,-0.019482,0.072089,-0.002134,-0.008164,0.005217,-0.019239,-0.019431,-0.072027,-0.997213,-0.001245,0.003179,-0.003702
1522507947.055716,-0.017308,0.071087,-0.002143,-0.005401,-0.001979,0.068606,-0.017263,-0.071027,-0.997325,-0.005869,-0.005633,0.004176
1522507947.075766,-0.016688,0.072514,-0.001751,-0.002707,0.003101,-0.019176,-0.016644,-0.072451,-0.997233,0.008526,0.018389,-0.006933
1522507947.095816,-0.016518,0.071691,-0.001991,-0.024557,-0.011883,-0.006456,-0.016475,-0.071630,-0.997295,-0.010152,0.006673,0.001674
1522507947.115866,-0.016818,0.071159,-0.002123,-0.027902,0.024393,-0.007768,-0.016775,-0.071099,-0.997328,-0.017176,0.004616,0.004073
1522507947.135885,-0.017266,0.069911,-0.001923,-0.108688,0.015621,0.011834,-0.017223,-0.069854,-0.997409,-0.003834,-0.013658,-0.001081
1522507947.155935,-0.019437,0.067723,-0.001027,-0.106842,-0.000196,0.074027,-0.019391,-0.067671,-0.997519,0.003537,-0.000139,0.000067
1522507947.175986,-0.019925,0.067440,0.001944,0.022435,-0.012283,0.158848,-0.019879,-0.067389,-0.997529,0.003735,0.027960,0.000580
1522507947.196036,-0.021599,0.068050,0.004542,0.049058,-0.095580,0.114624,-0.021547,-0.067998,-0.997453,0.019045,-0.008037,-0.010558
1522507947.216086,-0.023877,0.070726,0.006290,0.068952,-0.096706,0.069876,-0.023815,-0.070667,-0.997216,0.005978,0.007236,-0.000740
1522507947.236136,-0.025044,0.071891,0.007521,0.062500,-0.088245,0.051567,-0.024976,-0.071829,-0.997104,-0.007494,-0.002451,0.009204
1522507947.256155,-0.026584,0.070791,0.008412,0.027618,-0.062789,0.040373,-0.026514,-0.070732,-0.997143,-0.011251,-0.003624,0.003353
1522507947.276205,-0.025725,0.070646,0.008553,0.009205,-0.014938,0.001386,-0.025658,-0.070587,-0.997176,-0.010673,0.005036,-0.000978
1522507947.296255,-0.024478,0.070669,0.008009,0.019147,0.021284,-0.034047,-0.024414,-0.070610,-0.997205,-0.009979,-0.001259,0.005399
1522507947.316305,-0.024331,0.071579,0.007367,0.050737,0.037405,-0.034905,-0.024266,-0.071517,-0.997144,0.001073,0.002182,0.003019
1522507947.336355,-0.024260,0.072705,0.006839,0.034340,0.027770,-0.024307,-0.024193,-0.072641,-0.997065,-0.002311,-0.000647,-0.002447
1522507947.356375,-0.024807,0.073342,0.006773,0.077745,-0.005018,0.023406,-0.024738,-0.073276,-0.997005,0.011234,0.019168,-0.005284
1522507947.376425,-0.026118,0.074158,0.007946,0.007729,-0.013685,0.065585,-0.026043,-0.074090,-0.996911,0.002239,-0.019736,-0.007453
1522507947.396452,-0.026323,0.073673,0.009383,-0.008668,-0.011592,0.071833,-0.026248,-0.073606,-0.996942,0.001880,-0.020205,-0.001578
1522507947.416502,-0.026539,0.073338,0.010588,-0.023782,-0.002125,0.042735,-0.026465,-0.073273,-0.996961,0.000555,-0.004440,-0.008395
1522507947.436552,-0.026091,0.071484,0.010995,-0.064999,-0.003452,0.007011,-0.026021,-0.071424,-0.997107,-0.004298,-0.004855,-0.007318
1522507947.456602,-0.025965,0.070941,0.010977,-0.051856,-0.009831,-0.000318,-0.025897,-0.070881,-0.997149,-0.004026,0.005376,-0.008726
1522507947.476622,-0.026299,0.071917,0.010769,0.033269,-0.009559,-0.013396,-0.026228,-0.071855,-0.997070,-0.007722,0.018053,-0.006409
1522507947.496672,-0.026794,0.073727,0.010455,0.067167,-0.036140,-0.019336,-0.026718,-0.073660,-0.996925,-0.006119,0.013983,-0.013847
1522507947.516722,-0.027647,0.074554,0.010431,0.019003,-0.039419,0.013393,-0.027567,-0.074485,-0.996841,-0.013922,-0.002389,-0.010636
1522507947.536772,-0.028734,0.074115,0.011269,-0.028046,-0.056567,0.047283,-0.028652,-0.074048,-0.996843,-0.005574,-0.006656,-0.002760
1522507947.556822,-0.030135,0.072530,0.012376,-0.040111,-0.058708,0.060021,-0.030051,-0.072466,-0.996918,-0.001000,-0.001798,0.013428
1522507947.576872,-0.031329,0.070688,0.013537,-0.041141,-0.052342,0.047138,-0.031246,-0.070629,-0.997013,-0.001255,-0.005603,0.013020
1522507947.596891,-0.032881,0.070450,0.014564,-0.009558,-0.050078,0.052781,-0.032794,-0.070392,-0.996980,0.003680,-0.000424,0.011552
1522507947.616942,-0.034046,0.070767,0.015612,0.015544,-0.052132,0.049824,-0.033954,-0.070708,-0.996919,0.003940,0.001799,0.002717
1522507947.636992,-0.034929,0.071505,0.016577,0.033009,-0.044614,0.043533,-0.034833,-0.071444,-0.996836,0.004834,0.004489,-0.000280
1522507947.657042,-0.035398,0.072384,0.017079,0.041861,-0.015861,0.011335,-0.035298,-0.072320,-0.996757,-0.008830,0.002801,0.000953
1522507947.677092,-0.035144,0.073053,0.017071,0.022225,0.016060,0.000264,-0.035043,-0.072988,-0.996717,-0.014380,-0.003916,0.001325
1522507947.697111,-0.034551,0.073099,0.016834,0.001554,0.027690,-0.011780,-0.034452,-0.073034,-0.996734,-0.006793,0.002569,0.005828
1522507947.717161,-0.034014,0.073141,0.016729,0.010283,0.010659,-0.006246,-0.033917,-0.073076,-0.996749,0.000500,0.002184,0.003494
1522507947.737211,-0.034234,0.073260,0.016691,0.009201,-0.012806,0.001369,-0.034136,-0.073194,-0.996733,0.002214,0.000364,0.001540
1522507947.757261,-0.035001,0.073752,0.016984,0.030912,-0.010545,0.016558,-0.034899,-0.073685,-0.996671,0.003008,-0.003067,0.002942
1522507947.777311,-0.035307,0.074455,0.017524,0.034077,0.015105,0.024993,-0.035202,-0.074386,-0.996608,0.000397,-0.002381,0.001384
1522507947.797361,-0.034935,0.074876,0.018124,0.030721,0.023668,0.035625,-0.034830,-0.074806,-0.996590,0.000467,0.001472,0.003319
1522507947.817381,-0.034663,0.075675,0.019157,0.060055,0.007834,0.059549,-0.034557,-0.075603,-0.996539,0.012813,0.005809,0.004870
1522507947.837431,-0.035194,0.077397,0.021588,0.108668,-0.041871,0.154508,-0.035082,-0.077320,-0.996389,0.036821,-0.007428,0.008382
1522507947.857481,-0.036697,0.080819,0.025359,0.220773,-0.062686,0.196400,-0.036569,-0.080731,-0.996065,0.024392,0.004239,0.025926
1522507947.877531,-0.038393,0.084627,0.028933,0.179572,-0.059754,0.156374,-0.038247,-0.084526,-0.995687,0.001442,0.000435,0.011632
1522507947.897581,-0.039194,0.086199,0.031438,0.053317,-0.039003,0.110065,-0.039038,-0.086092,-0.995522,-0.017038,-0.002622,-0.003837
1522507947.917631,-0.038768,0.086525,0.032937,0.026351,-0.004065,0.047516,-0.038613,-0.086417,-0.995510,-0.026588,-0.001931,-0.016605
1522507947.937651,-0.037974,0.086508,0.032853,0.020166,0.007462,-0.016832,-0.037823,-0.086400,-0.995542,-0.022450,0.004918,-0.026751
