timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1522508902.113209,0.019714,0.370842,-0.007145,0.028964,0.009554,-0.025432,0.018372,-0.362401,-0.931841,0.008270,-0.003215,0.008242
1522508902.133259,0.020075,0.371113,-0.007615,-0.004872,0.006248,-0.018255,0.018707,-0.362653,-0.931736,0.014466,-0.018573,0.004307
1522508902.153309,0.020326,0.370483,-0.007982,-0.039775,0.007193,-0.016466,0.018945,-0.362066,-0.931960,0.010809,-0.016749,0.003035
1522508902.173359,0.020450,0.369877,-0.008326,-0.017931,-0.004474,-0.018323,0.019066,-0.361500,-0.932177,0.015922,-0.006023,0.004290
1522508902.193379,0.020495,0.369976,-0.008602,0.013641,-0.000072,-0.011622,0.019107,-0.361593,-0.932140,0.007169,-0.010401,0.003185
1522508902.213429,0.020441,0.370049,-0.008815,-0.004908,-0.008661,-0.006398,0.019056,-0.361661,-0.932115,0.006258,-0.016208,0.007524
1522508902.233479,0.020401,0.369942,-0.008962,-0.000569,-0.001172,-0.005333,0.019020,-0.361561,-0.932154,0.003350,-0.013393,0.007044
1522508902.253529,0.020296,0.370076,-0.009106,0.011455,-0.008607,-0.007316,0.018921,-0.361686,-0.932108,0.004288,-0.002984,0.009455
1522508902.273579,0.025368,0.378249,-0.011133,0.021252,-0.007498,-0.005085,0.023572,-0.369294,-0.929013,-0.004239,0.007508,0.001935
1522508902.293629,0.026328,0.383697,-0.011686,0.014735,-0.004334,-0.010517,0.024410,-0.374351,-0.926966,-0.003063,0.012565,-0.005941
1522508902.313648,0.025954,0.384449,-0.011782,-0.013605,-0.002310,-0.012947,0.024057,-0.375048,-0.926693,-0.001199,0.007906,-0.005710
1522508902.333698,0.025046,0.382846,-0.011969,0.032265,-0.034166,-0.013384,0.023230,-0.373562,-0.927314,0.019937,-0.000202,0.014610
1522508902.353748,0.024077,0.380498,-0.012305,-0.041746,-0.027038,-0.038765,0.022353,-0.371383,-0.928211,-0.000014,-0.006989,0.007968
1522508902.373799,0.023458,0.377358,-0.012618,-0.091015,-0.014322,-0.009355,0.021806,-0.368466,-0.929386,0.000564,-0.005512,0.002811
1522508902.393849,0.023514,0.375442,-0.012335,-0.044388,-0.000161,0.028489,0.021874,-0.366684,-0.930088,-0.006966,0.016587,-0.002880
1522508902.413899,0.026213,0.376133,-0.013102,0.028855,-0.003189,-0.001822,0.024378,-0.367327,-0.929772,0.000768,0.007067,0.004708
